userName,score,at,content
Oog Game,1,2025-08-03 16:07:30,hadeeeeeeeh. download malah stuck? game aneeeeeh
Aiman Alsasaki,5,2025-08-03 16:02:23,mantap
16_I Komang Argastya Sedana Putra_XI PH 1,5,2025-08-03 15:26:49,Berikan lebih banyak Asrite
Kikyo Yasaya.,5,2025-08-03 13:39:24,greatest
Kamu Nanya Kamu bertanya2,5,2025-08-03 13:14:22,"This is the best game I’ve ever played, but there’s one thing I hope to see in future updates: Indonesian language support. As someone who’s not very fluent in English, I find it quite difficult to fully enjoy the game’s story. As a story enthusiast, I find this quite unfortunate. I really hope the developers of Wuthering Waves hear this feedback. Thank you."
Ruri Kurniawan,5,2025-08-03 11:57:35,ok bnget
Dirty Buble,5,2025-08-03 09:53:48,good game
Septian Hidayat,1,2025-08-03 05:00:03,"Hard pity, newbie gak di kasih free pull, reward quest ampas, game kayak gini maunya micro transaksi doang."
Dinda Kanaya Putri,5,2025-08-03 04:46:43,I love you wuwa I love you kuro so plsss give me phrolova and her sign weapon only in ten pulls and at pity 30 plss cz I'm a new player pls be easy on me 😭🥺👉🏻👈🏻
Abdurohman endi,5,2025-08-03 04:28:14,EPIC!!
Riku Doo,4,2025-08-03 03:57:16,"Tolong kuro tambahkan Bahasa Indonesia Saya paham Bahasa Inggris tetapi tetap saja sulit memahami cerita Wuthering waves hanya dengan memainkan story nya, untuk memahami cerita Wuthering waves saya melihat penjelasan di social media dan itu merepotkan, tolong kuro ""TAMBAHKAN BAHASA INDONESIA"" untuk memudahkan player memahami cerita Wuthering waves"
Athara,3,2025-08-03 03:02:07,"game nya bagus ,harap bisa berkembang agar koneksi untuk game lebih bagus, dan tidak keluar dari game secara tiba tiba."
razerqi alfahrez,5,2025-08-03 02:57:13,Good Game
bang musthofa,3,2025-08-03 02:43:32,bahasa indonya dong..cape main trnslate
08 I Komang Adi Permana,5,2025-08-03 02:17:30,terima kasih sudah membuat game sebagus ini
Ryu Rasenaro A/34,1,2025-08-03 02:09:32,"sebenernya ini game bagus cuma tolong imbangin lah gender rationya masa cowoknya setahun cuma 1 doank, game incel"
Jeconi Laba,5,2025-08-03 01:29:45,game nya gila seru banget banyak banget mekanisme combat nya 👍👍👍
vynsmoke zz,1,2025-08-02 21:41:22,tolong lah next update adain hapus story biar size ga bengkak
Adn,5,2025-08-02 17:48:44,good game!
Qori Fathul Haris,1,2025-08-02 17:38:41,setelah mikir matang matang dengan event yang di sajikan saya merasa event nya terlalu membebani dan membuat saya malas mengerjakan nya. intinya tidak mengerjakan event=tidak dapat asterid=pensi
RIDWAN MUHAMMAD B.S.A,1,2025-08-02 16:26:03,gamenya Masi buram padahal animasinya udah ok. stelan gafik nya sama aja buram trus bahasa Indonesia nya belum ada.
Keiro Fyyx,5,2025-08-02 15:25:37,"good job wuwa, semoga kedepannya makin berkembang. Keren bisa jadi game paling berat untuk saat ini dengan ue4 nya di mobile yang memanjakan mata dan detail² yang wah, dengan begitu development² chipset di mobile jg bisa ikut berkembang kedepannya untuk menyesuaikan game berat seperti ini supaya bisa playable dan dimainkan dengan high frame rate tentunya, karena saya lebih suka bermain dengan device handheld daripada pc ✌😋"
ETRY's Funrey28,5,2025-08-02 15:17:50,"kecilin sizenya dong, sumpah klo wuwa nyampe 40gb kedepannya pensi gua. masalahnya memo gue penuh."
Rah Madi,3,2025-08-02 15:12:54,"saya baru bermain di game ini dan di banner pemula saya kalah rate-up, bisa"" nya seperti itu mana reward buat pemula itu terbilang sedikit sekali, namun untuk reward dari explore itu lumayan berlimpah tapi makan waktu. Arghhh saya kira banner pemula itu udah 100% rate up untuk Char bintang 5 yang kita pilih ituu. Saya hanya bisa mengeluh Di bulan ini saya sial sekali banyak kesialan yang menghampiri Arghhh"
carlos chandien,5,2025-08-02 14:46:46,grafiknya bagus
Niko,1,2025-08-02 14:04:43,ini kenapa ya gak bisa login menggunakan wifi dibilangnya ga ada sinyal tapi saat menggunakan VPN bisa login. masa gw harus main sambil hidupin terus vpnnya
"Shena ,",5,2025-08-02 13:49:38,"gelo ini game seru banget jir lah, bahkan saya berani bilang lebih seru dari game MMORPG lainnya, tapi tolong kuro kasih bansos yang banyak lah"
Hanif V riski,5,2025-08-02 12:37:38,"mantap skrg, prolova aink mokad"
Lukman Kadaffi,5,2025-08-02 12:13:43,good game
Zero Zerooo,5,2025-08-02 11:35:44,many bug in the story
yuke indra,1,2025-08-02 09:37:36,"gamenya membosankan,, susah banget kalahin boss, animasi karakternya jelek dan masih kaku, gak ada yang menarik dari game ini"
Honey Moon,5,2025-08-02 03:12:22,"game nya gachor bang solon, tapi alangkah baiknya tolong perbanyak pendapatan sealed tube please ini buat up echo soalnya sering kehabisan, char saya lama banget jadinya suka dapat stat echo yang gak di inginkan, jadi butuh banyak sealed tube untuk up echo lagi 😞"
Hengky Arfyansyah,1,2025-08-02 01:39:22,ngotak dikit lah masak tiap masuk harus compiling shader
ARIS SAFWAN,5,2025-08-02 01:05:15,"walaupun banyak yg bilang hal negatif tentang kelancaran di in game, mungkin device nya tidak mendukung, karna saya tidak mengalami gangguan itu sama sekali"
Andre Rira Yuswa,5,2025-08-01 22:58:59,"The game is good, very good, but it's a shame I'm not very good at English, please Kuro add Indonesian language🙏"
Lann Sptra,4,2025-08-01 17:50:56,"sejak patch 2.0 udah bagus,story cakep,grafik ok, karakter nya jg bagus bagus,Apalagi gachanya,cmn tolong pas update baru ini kenapa data saya malah hilang😭,Jadi download data ulang 30 GB an,tolong Dong Dev d perbaiki"
Muh. Ibnu Hakim,5,2025-08-01 16:31:26,"Gim ARPG Mobile terbaik. Storytelling asik, lorenya juga cukup menarik, design karakter cakep abisss, combat systemnya juga seru banget, eksplore map dipermudah, BGM awalnya agak kurang tapi mulai improve pas masuk rinascita, gachanya bagus, Dev royal dan sering dengerin keluhan player, semoga kedepannya bisa ditambahin bahasa Indonesia juga hehe 😅😁"
Fino s,5,2025-08-01 15:46:21,game Mayan bagus - bahasa Indonesia gak ada
Mnur Syamsi,5,2025-08-01 15:36:47,terima kasih kuro telah merestui hubungan gw dengan pholova
Rohan Raj,5,2025-08-01 15:32:56,"bro, aku baru saja dapatkan Phrolova dan reaksiku kepada Phrolova seperti Lego Bruce Wayne pertama kali melihat Barbara"
Ardi Wakwaw,5,2025-08-01 14:59:34,keren
Linda Tristiana,5,2025-08-01 14:04:59,"grafik bagus, bansos banyak. nice"
Mursyid BOT1,5,2025-08-01 14:00:42,"Overall bagus banget nih game, cuman untuk hp spek kentang jgn ngarep nih game lancar di main nin atau ngarep grafik rata kanan ada nya lu paksa gitu bisa force close. Untuk developer makasih dah buat game sebagus ini, kelebihan game ini adalah fitur skip dan tidak ada sistem 50/50 di banner Weapon."
HanTod Gimang,5,2025-08-01 13:32:55,niceee!!! kalau ada bahasa Indonesia nya pasti lebih seru.....
Zen Guren,5,2025-08-01 13:32:39,"what a game!, good job KURO 👏👏🎉🎉"
Yasmin Nurmala,5,2025-08-01 12:15:28,"BAGUS BANGET GAME NYA, tapi sayang banget hp w gakuat🤧😭"
D A,5,2025-08-01 10:20:05,rekomendet baget ayo pindah ke wuwa
Bla bla bla bla,5,2025-08-01 10:03:00,rate off teros game (elek) bagus😸
Its_NotRealme Biche,5,2025-08-01 09:48:28,tidak ada komentar untuk game bagus
RIFQI SULTHON ABQARI,5,2025-08-01 06:58:47,best
Ambon Manise,5,2025-08-01 06:16:14,keren
Ajun Shing,5,2025-08-01 03:32:29,Semogaa di permudah kan untuk mendapatkan Hero even
Arya Saputra,5,2025-08-01 02:42:39,perfect but.... pls more events
M. Fahriza Pratama Oroh,5,2025-08-01 01:46:47,keren
M Aditiya,1,2025-07-31 18:35:36,"beberapa karakter ""SUSU"" nya itu teralu di lebih-lebihkan kesan nya jadi agak menjijikan. Tambahan aku ga benci sama game nya, malahan aku juga ingin bisa memainkan nya lagi. tapi yang aku benci sekali itu fandom game ini yang liar sekali. yang suka menghujat game-game terutama saingan nya yaitu hoyoverse. mereka suka berargumen ""kan genshin dulu yang mulai"". dengan menyalahkan masalah di masa lalu untuk bisa menghina nya. itulah kenapa saat ini aku berhenti mengikuti perkembangan game ini."
Atanasius Mika,5,2025-07-31 16:08:23,tidak kikir
dualapan tujuh,1,2025-07-31 15:57:23,susah bgt masuk nya
Yao Wan,5,2025-07-31 15:22:10,nice game
Nire',5,2025-07-31 14:26:49,good lah sekarang
Moses Cun,5,2025-07-31 13:37:17,bagus bgt sih minus nya cmn kurang bgus klo main ny di android
Muhammad Ridho,5,2025-07-31 12:35:30,"game nya udah bagus, tapi kurang nya nggak ada bahasa Indonesianya aja sih menurut ku"
udin putra229,1,2025-07-31 11:58:53,"grafiknya kedip"" kenapa ya pada hal ram 6"
R I S K I Army,5,2025-07-31 11:50:51,MANTAP 2 TOKEN DAPET PHROLOVA & SENJATANYA!!!
Zakaria,4,2025-07-31 11:29:01,Nice game
Haris Indriyatmoko,5,2025-07-31 11:14:45,bagus
Doflamingo Donquixote,2,2025-07-31 10:48:45,"sama kaya genshin lu njir, story cuma ngejar waifu, semua pemimpin nya waifu. kalo lu mati yg ngubur lu cwok njir, bukan waifu"
Rafli Handal Alfayed,5,2025-07-31 10:43:52,"Game terbaik yang pernah gua maenin, storynya gacor wak, walaupun kalah rate off trus ga pernah menang 50/50 aku tetap senang, karena ada istriku shorekeeper 😘😍"
Hery,5,2025-07-31 10:15:58,bgus
Cyen,5,2025-07-31 09:56:07,keep it up
Irul Kolik,5,2025-07-31 09:13:40,pelit
Alex Sis,5,2025-07-31 09:11:50,keren banget
Amane Kun,5,2025-07-31 08:37:17,Pengalaman pertama bermain ini game bagus segi gameplay jug udh okay grafik animasi nya mantap bagus NO PHROLOVA KU😭😭😭
Unknown15,5,2025-07-31 08:15:05,absolute cinema
Ega Dwi,4,2025-07-31 06:45:15,game baik banget cuma kekurangannya optimasinya perlu ditingkatkan lagi kalau sudah ditingkatkan baru aku kasih bintang 5
Arjuna Atmaja,5,2025-07-31 05:29:25,mantap
Perdi ansyahmaulana,5,2025-07-31 04:14:40,"Suka forclose sendiri,untuk sementara bintang 3 dulu kalau udah bener baru bintang 5"
Tian Kazuki,5,2025-07-31 01:20:17,Story ama performa udh makin bagus cuma tinggal kurang maksimalin karakter cowok
Mmyy Od,4,2025-07-31 01:05:25,Gamenya sudah bagus dan tolong di tambahkan bahasa Indonesia
Eri Tio,5,2025-07-30 21:19:53,bagus
Thomas,5,2025-07-30 16:54:31,karya yang indah
KHOERUL ANWAR,5,2025-07-30 16:10:55,"game yang sangat bagus dari segi apapun, minusnya cuma satu Kenapa g ada bahasa Indonesia nya."
Arif Bakhrudin,3,2025-07-30 15:55:35,overall bagus. cuma tolong kasih fitur hapus data quest lama. biar gak numpuk size nya terlalu gede nanti
wawasan 4636,5,2025-07-30 15:17:13,the best
Cielzz_Kecee,1,2025-07-30 14:08:14,"download data lama banget berjam-jam, bahkan jauh lebih lama dari game sebelah. cerita mid ga ada yg seru. konten terlalu susah. hampir semua karakter b5 harus pake signature kalo ga dmg nya turun drastis. tim terlalu mahal. ga ada b4 udh kayak game kereta api itu. banyak bug. dan masih banyak."
rizzz yaaa,2,2025-07-30 12:22:54,"berat amat gamenya di setting paling kiri ttp frame dpt 20, apalagi pas cutscene pdhal main di hp 8/256"
Danu Prahastyo,5,2025-07-30 11:45:22,dear kuro game please fix the force close
Gun 29,3,2025-07-30 11:24:24,Terimakasih sudah mengisi waktu luang saya. maaf harus uninstall karena perangkat sudah sering frame drop tiap main. terima kasih
Rizky,5,2025-07-30 10:42:20,pelit gacha
ifan Vevev,5,2025-07-30 10:09:47,tambah bahasa indo pliss
Ahmad Majisuka,5,2025-07-30 09:59:20,baru kembali
pengguna smartfren,5,2025-07-30 09:36:01,emang rada rada ni kuro baru juga unistal malah disuruh instal lagi
kinown,5,2025-07-30 09:32:30,game yang sangat seru
Fika Hapsari,5,2025-07-30 09:12:13,seru
I M,5,2025-07-30 08:35:05,"peak gameplay and story,I really can't skip the story,even once I want to but I can't,hey dev can you make a cloud version for this game, because for a player that want to play the game but have low device that will be great help"
Maysyifa_2009,5,2025-07-30 08:02:55,aku mau main wuwa bagusnya banyak cantik bgt indah! 🙏🏼
Muhamad Iqbal,5,2025-07-30 08:01:18,sangat bagus
Zinl. Sael,5,2025-07-30 05:41:19,When will the Indonesian version be released?
Aldy Selian,5,2025-07-30 04:25:25,mantap bung tapi gk ada bahasa Indonesia ya kurang ngerti bahasa inggris hehe selain ya bagus keren gokil good
Rizky Ramadhan,5,2025-07-30 03:50:38,bagus
Faathir Yunus,4,2025-07-30 02:57:54,tambahin bahasa Indonesia gw kasih bintang 5 😁
TheNov,5,2025-07-30 02:30:00,"This game is very good, very like it, keep up your work Kuro!"
Reza Bagas,5,2025-07-29 17:29:27,Absolute cinema
ibnu abdillah,5,2025-07-29 17:21:43,"tolong buat untuk versi cloudnya dong, biar bisa merasakan grafik terbaiknya di device midend🙏🏾, dari segi keseluruhan game ini udah paling bagus lah untuk game arpg"
Andre Dhan,1,2025-07-29 15:50:04,"rate gacha lebih busuk banget, mending genshin impact"
ItzSnott,5,2025-07-29 15:36:59,good
another burner,5,2025-07-29 14:16:11,good game so far
Super Santay,2,2025-07-29 13:30:34,"pls lah gw dari awal main kalau gak kalah rate off ya ampas :(, btw bagus kok cuma agak bingung untuk pemula karena UI nya rame"
Hadyan Aufar,1,2025-07-29 12:17:50,"Why, i know phrolova must d*e, but can she live again please :)"
Mistar Shyman,5,2025-07-29 12:11:24,saya beruntung saya hoki
Aur PNG,5,2025-07-29 08:58:26,sangat hoki
Ashiki Shira,5,2025-07-29 07:50:28,game menarik dan gameplay yang keren untuk di main kan namun sebagai user smartphone samsung A55 game ini sering Force close dan frame drop parah saat bermain di seri update terbaru ini di septimont jika di tanya saya suka gamenya tentu iya
Mrboy 09,5,2025-07-29 06:58:33,"Game nya bagus banget, cuma minta satu permintaan aja. Tolong dong di sediain bahasa indonesia nya, g semua orang pintar dalam bahasa inggris lo"
17. Muhammad Ridhan Ergiansyah purnama,5,2025-07-29 06:25:44,great game well played
KagenoooDinzz,5,2025-07-29 05:50:01,"bagus aja dari segi grafik ama story, yang penting penyimpanan kuat"
Septiyan Dwicahyono22,5,2025-07-29 04:01:08,good job
rizky ard,5,2025-07-29 03:39:01,bang di huanglong update bisain terbang ngapa males jalanya biar kayak rinacita
Senaka,5,2025-07-29 03:38:07,Tolong buatin fitur nikah dan bikin anak
Rasya Syawal Pahlepi (Rasya),5,2025-07-29 02:26:04,yangyang cantik banget
ANEZA 1234,5,2025-07-29 01:27:08,cihuy 10 spin pronolova
Bima Frima,5,2025-07-29 00:46:46,gameee asikkkkk
mikey mouse,1,2025-07-28 20:06:47,baru main langsung uninstal gak dapet free wish sma jaminan char b5
haris EL,5,2025-07-28 18:15:58,masih gk ada bahasa indonesianya. jadi. klo. misi bingung bahas apa alurnya gmana. soalnya gk terlalu paham bahasa inggris
Anndy,5,2025-07-28 18:08:22,"gamenya bagus, story, sama grafik nya juga bagus, cuma saja tidak ada bahasa Indonesia tolong min next update tambahin bahasa Indonesia 🙏🙏"
Per Intg,1,2025-07-28 18:01:13,dahlah udah story kayak gitu ngecewain (abis itu kena rate off padahal saat pull buat lupa pun rate off *****)abis itu ada bug buat udah selesai main quest nya Ndak bisa ketemu ruangan merah untuk ketemu phrolova kecewa gw sama patch 2.5 haduh maksudnya yang didalam kurung cuma curhat 🙏🙏 udah tahu aku entar semu nasibnya kayak Selena di pgr haduh 😢😢 maksudnya pgr= punishing gray raven
Jarskiee,5,2025-07-28 17:49:38,Absolute Cinema
Pakde Buas,1,2025-07-28 16:32:22,game nya udh bagus story nya udh absolute tapi gacha nya ampass batt udh 155 kali spin prholova dapet nya lingyang bae tolong lah di harumin gacha nya😥
Xiano Zuko,5,2025-07-28 16:04:24,"bagus sih game nya cuman zoom out nya njir tinggi banget, di zoom malah kadang nembus klo lgi boosing gk keliatan"
rahmad firman,5,2025-07-28 15:52:00,i need chisaa
Muhamad Rapli,5,2025-07-28 15:33:19,mantap
Riski Ramdhani,3,2025-07-28 15:20:27,"sayang banget chest kalau udah di ambil 1 map ga muncul lagi , agak pusing mau cari lagi"
Farezki Al Gozali,5,2025-07-28 13:57:13,story bagus
Why me,4,2025-07-28 13:03:49,tolong untuk mode coop di perbanyak dan match coop untuk mencari item juga sangat lama
my laptop,5,2025-07-28 11:57:53,mantap
Hardlott,5,2025-07-28 11:12:38,please add Indonesia translate 🙏
Ofan Purnomo,4,2025-07-28 11:03:14,bagus
Davin Syamil Pratama,5,2025-07-28 09:17:03,Game baik hati memberikan saya soft pity 20 pull 5 star dan 40 pull 5 star di banner Prolova terbaru😋
Eka Wahyudiputra,5,2025-07-28 08:52:26,sumpah lu baik banget jadi developer gamee dan ini game gacha paling baik yang gua mainin(aku cinta kuroo)
Envy,5,2025-07-28 07:07:46,perfect
Dendi Mulyadi,5,2025-07-28 06:37:20,waw sih mantap..
Uryl Dragneel,5,2025-07-28 06:07:00,we love you Kuro
Anisa Juliyani,5,2025-07-28 04:08:35,"game nya seru banget, apalagi kalo bisa grafik rata kanan 🙂😭😭😭👍👍👍"
Sabet Mikasa,5,2025-07-28 04:04:29,pokoknya mah good lah
Abdul Qaid Muzhaffar,5,2025-07-28 03:41:21,good game
Who is Yaogurt? (Azalia),4,2025-07-28 03:15:09,"game nya bagus, storynya juga bagus, tapi lebih baik di sediakan bahasa indonesia agar beberapa pemain yang kesulitan bahasa inggris bisa memainkannya"
Daya Darsono,5,2025-07-28 02:36:20,gamenya bagus banget. terimakasih kuro games. tolongdong di kasi bahasa Indonesia?
Hafizal Fayyaz,3,2025-07-28 00:42:17,Saya awal nya tidak ada komplain terhadap game ini. Tetapi pada update terbaru entah mengapa device saya (Samsung S24) mengalami kendala seperti force close bahkan sesaat setelah masuk kedalam game. Saya harap kedepan nya developer bisa segera mengantisipasi hal tersebut. Terimakasih 😃
fernanda bagus pranata,5,2025-07-27 22:52:32,"the best game f2p memanjakan game play,& tim kuro respon paling cepat"
lutfii suka animekk,2,2025-07-27 22:08:03,"malas banget kalo udh update,trs disuruh download data lagi"
Fan Shoyo,5,2025-07-27 17:47:01,Game seru + eksplor map nya mudah Mantap untuk kuro games Untuk developer semoga di tambahkan bahasa indo ya di next patch hehe 😅
Taru Phantomhive,5,2025-07-27 17:42:11,Just play
Ilham Zaenudin,5,2025-07-27 16:23:34,baik
Sito Kurniawan,1,2025-07-27 15:48:44,terlalu vorno ini game.
Muhammad Iqra,5,2025-07-27 15:33:03,quest story 2.5 buat saya menangis
Aidel fitra,5,2025-07-27 15:17:47,mantap
SHIROI HAKO,5,2025-07-27 14:16:47,"Game the best Gak kaya Hoyo Kikir buat Device Kentang jauh"" dari game ini liat komentar kalian memalukan"
edi kelbek,3,2025-07-27 13:34:18,tolong optimalkan untuk perangkat mobile karna saya suka mengalami force close
Maulana Wisesa kusumaningrat,5,2025-07-27 13:14:06,"moga aja translate indo muncul, jadi lebih nyaman baca story nya, yaa meskipun bisa bahasa inggris dikit, tapi takut salah artiin storynya hehe"
La Tiful,1,2025-07-27 12:45:08,kuro tolong kasih bahasa indonesia
Vano Gilang,5,2025-07-27 12:38:31,bagus
Han Grijzenhout,4,2025-07-27 11:31:55,dikasih gao
Attitude Aryy,3,2025-07-27 11:23:58,"There are no Indonesian subtitles, don't you like our country? It's okay, I don't expect much, it's just that a story this good I would skip without reading it."
Lucio berek,5,2025-07-27 11:19:11,mantap 👍
Nazuro,5,2025-07-27 11:15:02,"dari awal main sampe sekarang ini game terus berkembang dan menjadi lebih baik, teruskan kuro"
Abdul Azis,5,2025-07-27 10:55:30,Cinematic story .. sangat rekomendasi
kondra ajah,5,2025-07-27 10:24:23,"gamenya baguss, tapi mana sub indo nyaa wokkk, gimana mau rame di indo kalo sub indo kagak ada"
Agli Pipel,5,2025-07-27 10:16:35,gud
Heni Mulyani,5,2025-07-27 10:13:24,game seru dan dev nya GK kikir
Adam Firmansyah,5,2025-07-27 09:54:43,taktik edan mang kuro
Satria Darmawangsa,4,2025-07-27 07:36:01,tolong buat agar game ini menjadi lebih ringan seperti genshin impact agar lebih fun untuk dimainkan
Haedir Mg,1,2025-07-27 07:24:56,"saya akan download lagi kalau ada versi bhsa indonesia nya, biar bisa lebih deep ikutin alur story nya"
Sumaini Aini,4,2025-07-27 07:19:40,lumayan.
Star Fllower,5,2025-07-27 06:51:44,gg tapi mana bintang 5 ku wak
Sylphy Roselia,5,2025-07-27 06:26:36,"gameplay ny asiq tp bs gk bnykin lanangny, gewehj butuh malewife & male husband"
Bawi Sai Kamu Bajak Akun ke,1,2025-07-27 05:49:52,semenjak Gue maen gak pernah menang rate kalah mulu gacha ampas bangke capek gue maen ni game
51 Teddy Fernando,5,2025-07-27 05:28:54,ditunggu optimalisasi game nya agar lbih lancar dan ga frame drop
MUHAMMAD DARMA SHALIHIN,5,2025-07-27 04:25:14,keren
Zxcxy San,5,2025-07-27 03:24:32,peak
Ditaker Gaming,5,2025-07-27 03:16:32,"Di hp rog phone 1 g bisa masuk, karena masih menggunakan driver lama, udh ganti hp dikarenakan hanyut banjir, jadi ganti ke mi12t"
Muhammad Ikhsan Kamil,5,2025-07-27 02:22:12,keren
Modesto Oryza,5,2025-07-27 02:03:46,alergi game kikir
Maygi Restu,5,2025-07-27 00:59:11,"The best lah. Yang bilang sering ngadat, devicenya naikin lagi deh :)"
Hardi Karmana,5,2025-07-27 00:02:37,Too good to be gacha game.
Deo Prayoga,5,2025-07-26 22:35:02,mantap
Batagor,5,2025-07-26 18:55:17,"no comment, the point is good in my opinion"
Daffa Rafian F,4,2025-07-26 17:32:23,ini kesekian kalinya. Gua gacha selalu dapet non limited dari awal rilis globa. Please lah hadiah nya juga sedikit. Jangan kikir dong. Saya masih beri bintang bagus loh ini
Muhammad Farid Ridho,5,2025-07-26 17:28:02,"Cerita yang menarik, pengembangan kekuatan karakter masuk akal, kemudian desain karakter dan NPC yg keren"
Ari Adja,1,2025-07-26 17:15:37,gak ada bahasa Indonesia
Arvin Pratama Putra,5,2025-07-26 17:06:16,keren
RE:projekt,5,2025-07-26 16:24:04,makin lama maen makin ketagihan. story nya juga bagus. sistem gacha juga gak pelit bwt f2p. makasih admin WuWa.
Tempe Mondol,4,2025-07-26 16:08:53,"game nya udah bagus banget sii, tapi aku kasih saran buat adain sub indo nya,developer memng terbaik man 👍"
ANDI FAUZAN,5,2025-07-26 16:07:32,this game is very good especially my wives changli and camellya
Mamono Chan,5,2025-07-26 15:42:05,hallo can you fix bug in compiling shader my phone always force close and the update make my softwere startup apl not working or crash
Faisal Amir,5,2025-07-26 14:58:55,"terimakasih developer baik, sudah membuat fitur unlink yang mudah"
Airaellez,2,2025-07-26 14:29:21,"add Indonesian, please🇮🇩🇮🇩🇮🇩"
rindia a.p,1,2025-07-26 13:38:24,Story nya kok jadi makin boring sih
Pohon Sawit4443,5,2025-07-26 13:29:52,tolong depeloper tambah bahasa indonesia biar makin lengkap untuk lain nyan semua oke
Da Sson,2,2025-07-26 13:10:01,"kebanyakan drama nya nich game, kurang battlenya."
ZFHH3OR DFG,5,2025-07-26 13:09:44,peak story phrolova
Imuthia Alisha,5,2025-07-26 12:56:41,game baik
Bayu Allingga,5,2025-07-26 12:50:50,"GAME NYA SANGAT BAIK, BUDGET PELAJAR, CUMA PAS NGE DASH MENURUTKU KURANG BAGUS AJA, MOGA DI PERBAIKI"
Louis Kendrick Jonathan,5,2025-07-26 12:30:13,"asik banget, saya sangat enjoy bermain game ini"
Tow Fan,5,2025-07-26 12:25:14,My favorite 🗣️
Ziad Waqud,5,2025-07-26 12:17:17,Mantap story phrolova ny kuro tolong adakan lokalisasi bahasa Indonesia agar para player indo lebih bisa memahami story ny
Nurul Arifah,5,2025-07-26 12:00:06,"terimakasih game baik, tambahkan cowo baru dong hehe😋"
ahmat Fais,5,2025-07-26 10:58:38,"gue kasi bintang 5,bahasa indo nya kapan min, moga aja di kasi ya"
OP SMP,5,2025-07-26 10:49:16,Hai bro tolong ya jangan diulang lagi story 2.5 itu udah bagus story-nya phrolova
Archaste Lucifer,5,2025-07-26 10:09:43,👍
Fabio Farrel,1,2025-07-26 09:42:54,game gblk
I GRIS,5,2025-07-26 08:19:39,Pas Login suka g bisa
Muhammad Firmansyah,1,2025-07-26 06:44:22,"What do you think of map 2.5?, it's so hard to explore. I can't even fly or climb WORST MAP EVER!"
Farel Ramadhan,5,2025-07-26 05:34:53,game baikkkkk
P N,5,2025-07-26 04:47:33,battlenya unik bisa Quick swap banyakin karakter yg lebih nyaman buat Quick swap
02 Dwi Gunawan Hari,3,2025-07-26 04:08:57,"di awak rilis ni game optimalnya bagus, pas pertengahan malah jelek. awalnya 60fps tapi graphic smooth, skrng malah 20< apa apaan. lawak amat"
KaKa Activity,5,2025-07-26 03:36:22,"I'm newbie Player ,Please give changli rerun PHIRO🙏🙏🙏🌡️🌡️🌡️"
Adi Ramadani,3,2025-07-26 03:27:44,"sebelum map rinascita dan lainnya muncul ini game masih enjoy gw mainin. tapi setelah map lain nya rilis udah gak nyaman, agak terlalu berat. Entah karena emang terlalu cepat bikin map baru nya jadi optimalisasinya kurang atau gimana. Best patch menurut gw versi 1.4."
Bagas Rizky A,5,2025-07-26 02:26:39,Bilang sama kuro makasih sudah membuatkan geme wuthering waves > BY Naru 💫
Nuhfi Iqfar,3,2025-07-26 02:19:45,mohon developer game nya bug banget banyak bug yang bikin kalah mulu lawan musuh bug g bisa ba g bisa gerakin analog char gara gara bos loerei itu boss hilangin ae nyusahin bikin bug ae sat kuroooo
Mr. Fu,1,2025-07-26 01:30:32,AMPAS BANGET GACHANYAA. TOLONG LAH JANGAN PILIH KASIH SOAL AKUN. MASAK HARUS SELALU 80× GACHA BARU DAPET 1 B5. DAN ITUPUN RATE OFF TERUSSSS. DAPET B 5 STANDAR DULU BARU B 5 LIMITED
Malfin Fahrul Fanani,5,2025-07-25 19:10:19,"nice game, gg kuro"
Bitang Kecil owok owok,5,2025-07-25 18:04:38,I have been playing this game since it was first released
Angga,3,2025-07-25 16:55:03,Optimal kan lagi untuk device Poco X6 5G nya Sering banget frame drop
Irfandi Eka Febianto,4,2025-07-25 16:23:04,KAPAN ADA BAHASA INDONESIA NYA????? TOLONG DEVELOPER SEDIAKAN BAHASA INDONESIA!
Edward Lauwis,5,2025-07-25 15:05:47,W quality
Bukan karbit,1,2025-07-25 14:44:04,mc nya aneh
rendi permadi,1,2025-07-25 14:16:15,karena phrolova mati
neymar45 Ade,3,2025-07-25 14:10:03,. Gacha nya miris kali buat pemula terlalu 😣
Rendi Official,5,2025-07-25 14:01:10,Tolong la kuro kenapa karakter banyak yang jelek padahal PGR bagus semua karaternya
NoT Huam7,1,2025-07-25 13:55:39,"Setiap kali update je kena download ulang data game ni malas aku nak tunggu lama,wuwa dengan pgr same je"
Tofan Andianto,5,2025-07-25 13:30:47,"master piece game , thank you dev"
Brilian Satria Nova,1,2025-07-25 13:19:16,"game puqi,gacha char limit ampas mulu"
28_ ERVANDA PRATAMA,5,2025-07-25 12:15:17,geloo terimakasih game baik
Black_Pumpkins,1,2025-07-25 11:25:34,tidak optimal di beberapa perangkat dengan grafik low 24fps sedangkan high 24fps bukannya semakin down grafik semakin banyak fps knp masi sama?
